,wordcount,images_number,links_number,title_keywords,body_keywords,url,clickbait
107,621,3,6,1,5,https://www.hola.com/ninos/20180206120001/como-superar-acoso-escolar/,True
108,196,1,2,0,5,https://fashion.hola.com/belleza/2018041964854/teresa-seco-trenza-peinado-festival-tutorial/,True
109,374,10,2,0,13,https://www.hola.com/sociedad/20180410122671/yo-influyo-evento-solidario-cancer-mama/,True
110,146,16,1,0,1,https://hola.com/novias/20180425123336/barcelona-bridal-week-cronica-desfile-jordi-dalmau-2019/,True
111,368,5,4,1,3,https://mx.hola.com/belleza/2018042422201/kim-kardashian-dieta-detox-met-gala/,True
112,955,3,4,0,7,https://www.hola.com/estar-bien/20180420123129/dia-de-la-tierra-que-hacer/,True
113,380,5,5,0,1,https://www.hola.com/viajes/20180427123299/atlantis-bahia-real-hoteles-que-enamoran/,True
114,664,13,7,0,2,https://www.hola.com/viajes/20180411122729/fotogaleria-lo-mejor-imagenes-region-umbria-italia/,True
115,993,8,14,0,4,https://www.hola.com/cocina/noticiaslibros/20180430123507/masterchef-6-programa-2-expulsion-loli/,True
116,1081,13,3,1,10,https://www.hola.com/cocina/noticiaslibros/20180504123526/poke-bowl-restaurantes-madrid-barcelona-bilbao-zaragoza/,True
117,1266,90,1,0,1,https://www.hola.com/moda/actualidad/galeria/2016120190071/victorias-secret-2016-fotos-desfile/1/,True
118,482,3,5,0,13,https://www.hola.com/actualidad/20180503123634/laura-m-flores-primer-hijo-matias/,True
119,956,7,14,0,12,https://www.hola.com/cocina/noticiaslibros/20180423123181/masterchef-6-programa-1-resumen-expulsion-fernando/,True
120,642,8,10,0,5,https://www.hola.com/viajes/20180216120475/ibiza-gran-hotel-baleares/,True
121,126,1,1,0,0,https://www.hola.com/realeza/casa_inglesa/20180430123524/titulo-principe-louis-princesa-charlotte-moda/,True
122,278,12,0,1,3,http://www.lavanguardia.com/television/20180504/443213863518/supervivientes-2018-sofia-jugador-real-madrid-asensio.html?utm_source=hola.com&utm_medium=referral&utm_campaign=widget-home,True
123,465,5,6,0,5,https://ac.hola.com/realeza/2017122020645/charlene-monaco-capa-roja-navidad/,True
124,905,12,4,0,12,https://hola.com/novias/20180424123279/barcelona-bridal-week-cronica-desfile-atelier-pronovias-2019/,True
125,170,1,1,0,8,https://hola.com/actualidad/20180504123623/victoria-cristina-hijas-julio-iglesias-fotos-cumpleanos-moda/,True
126,304,40,1,0,1,https://www.hola.com/novias/20180427123425/barcelona-bridal-week-cronica-desfile-marco-maria-2019/,True
127,158,1,1,0,4,https://www.hola.com/estar-bien/20180327122009/video-ejercicios-hipopresiva-postura-tumbada/,True
128,487,3,2,0,10,https://www.hola.com/belleza/caraycuerpo/20180430123459/vientre-plano-romee-strijd-zumo-mc/,True
129,527,1,3,1,3,https://oscars.hola.com/oscar-2018/201803053798/oscars-2018-rita-moreno-vestido-west-side-story-moda/,True
130,434,3,3,1,9,https://www.hola.com/belleza/actualidad/20180504123685/emma-roberts-blanca-suarez-bronceado-mc/,True
131,12,1,0,1,0,https://hola.com/moda/modistos/dominicanamoda-2010/index.html?dise=renta&foto=oscar-renta001a.jpg&numero=1,True
132,296,8,2,0,4,https://www.hola.com/sociedad/20180504123666/hipodromo-zarzuela-dia-madre-campeonato-ponis/,True
133,516,19,4,1,4,https://www.hola.com/ninos/20180220120630/tendencias-infantiles-inspiradas-adultos-moda/,True
134,428,26,3,0,11,https://hola.com/sociedad/20180419123094/sevilla-feria-abril/,True
135,298,4,4,0,1,https://hola.com/viajes/20180418123019/pueblo-nombre-mas-largo-gales-reino-unido-europa/,True
136,1037,9,9,0,3,https://www.hola.com/viajes/20180405122452/ruta-agua-sierra-madrid-de-patones-a-buitrago-del-lozoya/,True
137,906,6,9,1,8,https://hola.com/decoracion/20180410122535/home-staging-trucos-alquilar-vender-casa/,True
138,99,0,1,2,11,https://oscars.hola.com/oscar-2018/201803053812/oscars-2018-memes/,True
139,449,0,0,0,11,https://us.hola.com/actualidad/2018050412400/joy-huerta-desmiente-relacion-jencarlos-canela/,True
140,1081,13,3,1,10,https://hola.com/cocina/noticiaslibros/20180504123526/poke-bowl-restaurantes-madrid-barcelona-bilbao-zaragoza/,True
141,627,2,4,0,4,https://www.hola.com/estar-bien/20180419123054/rosa-mosqueta-artrosis/,True
142,1114,11,8,0,19,https://www.hola.com/ninos/20171218103482/tyler-posey-fotos-de-famosos-de-pequenos-rj/,True
143,501,3,6,1,9,https://www.hola.com/actualidad/20180503123640/eurovision-2018-amaia-alfred-aterrizan-lisboa/,True
144,291,3,3,0,14,https://www.hola.com/moda/modelos/20180421123164/coco-rocha-james-conran-segundo-hijo/,True
145,804,6,7,0,8,https://oscars.hola.com/oscar-2018/201803053806/oscars-2018-mejor-actor-mejor-actriz/,True
146,160,7,8,1,4,https://www.hola.com/cocina/escuela/20180419123023/recetas-faciles-arroz/,True
147,170,1,1,0,8,https://www.hola.com/actualidad/20180504123623/victoria-cristina-hijas-julio-iglesias-fotos-cumpleanos-moda/,True
148,966,15,11,0,3,https://www.hola.com/decoracion/20180308121312/casa-decor-2018-espacios-antes-despues/,True
149,287,4,3,0,4,https://ac.hola.com/belleza/2017113020396/meghan-markle-facial-boca/,True
150,1105,7,7,1,7,https://enforma.hola.com/nutricion/20180215689/dieta-y-alimentos-para-la-celulitis-belleza/,True
151,829,2,6,1,4,https://www.hola.com/estar-bien/20180427123436/remedios-dolor-de-cabeza-con-plantas-medicinales/,True
152,663,6,4,0,6,https://www.hola.com/decoracion/2015092881221/claves-para-montar-una-oficina-en-casa/,True
153,465,6,7,1,3,https://www.hola.com/ninos/20180124105096/kate-middleton-vestido-azul-premama-rebajas-asequible-gt/,True
154,163,1,1,1,6,https://www.hola.com/actualidad/20180504123660/kiko-rivera-mensaje-agradecimiento-seguidores-depresion/,True
155,564,5,7,0,9,https://www.hola.com/realeza/casa_inglesa/20180427123277/kate-middleton-principe-guillermo-nombre-tercer-hijo/,True
156,564,7,8,1,8,https://ac.hola.com/actualidad/2017061295722/leo-messi-antonella-roccouzzo-ibza-previo-boda/,True
157,473,0,0,1,9,https://us.hola.com/belleza/2018050212127/salma-hayek-dietas-para-bajar-de-peso-vv/,True
158,492,1,0,0,5,https://blog-static.hola.com/entrecosturas/2018/04/a-punto-para-la-feria-de-abril.html,True
159,293,12,2,0,9,https://www.hola.com/sociedad/20180419123107/urbano-galindo-exposicion-madrina-carmen-martinez-bordiu/,True
160,412,1,2,1,3,https://tuotrodiario.hola.com/noticias/2018050274388/familia-estudiantes-desaparecidos-mexicanos-rechazan-version-/,True
161,291,8,0,0,1,https://www.hola.com/realeza/casa_espanola/2014061871964/joyas-reales-de-pasar-reina-letizia/,True
162,763,14,3,0,11,https://www.hola.com/moda/actualidad/20180424123295/brigitte-macron-viaje-estado-eeuu-looks/,True
163,490,13,1,0,3,https://us.hola.com/actualidad/2018050412224/jencarlos-canela-carrera-candela-cubana-mz/,True
164,353,4,1,1,3,https://hola.com/ninos/20180425123351/duques-cambridge-tercer-hijo-made-in-spain-moda/,True
165,8,1,0,0,0,https://www.hola.com/moda/especiales/tendencias-otono-invierno-2015-2016/,True
166,296,8,2,0,4,https://hola.com/sociedad/20180504123666/hipodromo-zarzuela-dia-madre-campeonato-ponis/,True
167,588,2,3,0,4,https://oscars.hola.com/oscar-2018/201802223777/plagio-la-forma-del-agua-guillermo-del-toro/,True
168,722,13,6,3,10,https://www.hola.com/novias/20180418123038/tendencias-new-york-bridal-week-2019/,True
169,906,6,9,1,8,https://www.hola.com/decoracion/20180410122535/home-staging-trucos-alquilar-vender-casa/,True
170,242,33,1,2,0,https://hola.com/novias/20180426123410/barcelona-bridal-week-cronica-desfile-isabel-zapardiez-2019/,True
171,667,5,5,0,5,https://www.hola.com/cocina/noticiaslibros/20180425123268/principe-guillermo-duque-cambridge-pollo-peri-peri/,True
172,42,1,0,0,0,https://www.hola.com/tags/los-pueblos-mas-bonitos-de-europa/,True
173,481,0,0,0,12,https://us.hola.com/musica/201711259945/mariah-carey-cancela-compromisos-problemas-salud/,True
174,256,0,0,0,3,https://us.hola.com/belleza/2018050412372/heidi-klum-cambios-de-look-peinados/,True
175,44,1,0,1,1,https://www.hola.com/moda/tendencias/visores/premios-cfda2011-moda/premios-cfda2011-moda/1/premios-cfda-2011-moda001a/,True
176,552,3,9,0,17,https://www.hola.com/actualidad/20180504123653/alejandra-rubio-maria-teresa-campos-disco/,True
177,198,1,2,0,6,https://hola.com/estar-bien/20180430123441/video-ejercicios-hipopresivos-con-aro-pilates/,True
178,769,15,2,1,9,https://www.hola.com/realeza/casa_holanda/20180427123479/maxima-holanda-hijas-dia-rey-moda/,True
